target,epoch,injection_ratio,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
mental_health,2015-2019,0,4.133657296707827,4.133657296707827,0.04453986132842003,0.04453986132842003
mental_health,2015-2019,100,4.300810163550734,3.9412586568383396,0.046286865053215824,0.042035304245662125
mental_health,2015-2019,20,4.170566324687889,4.100708920371513,0.04496600427553317,0.04426242216700488
mental_health,2015-2019,40,4.214615598327119,4.065634611472098,0.04552229466630476,0.04372072415132738
mental_health,2015-2019,60,4.2441858941502915,4.022280044610523,0.04646896363080323,0.043827394750393774
mental_health,2015-2019,80,4.2725099555858,3.982878234433828,0.04633025191947208,0.04279015986714032
mental_illness,1970-1974,0,4.000892857142857,4.000892857142857,0.043817947331562156,0.043817947331562156
mental_illness,1970-1974,100,4.449041916167664,3.936121212121212,0.071411308510658,0.06664895565725167
mental_illness,1970-1974,20,4.101333979019747,3.9826290341231547,0.04345230129042207,0.041535425935988066
mental_illness,1970-1974,40,4.18651099907247,3.9750909729189545,0.04371574546827481,0.04099689473094709
mental_illness,1970-1974,60,4.232334847044676,3.9695393755144908,0.049554024509228786,0.04618621207861798
mental_illness,1970-1974,80,4.310901837251819,3.9599371182171397,0.05785834588967788,0.05359625411063864
mental_illness,1975-1979,0,4.065083970053515,4.065083970053515,0.04113115879670539,0.04113115879670539
mental_illness,1975-1979,100,4.417292182248977,3.9668853425708854,0.04458127530527777,0.041866490969723204
mental_illness,1975-1979,20,4.141904611006327,4.04630913485545,0.0427247958194801,0.041656364095421186
mental_illness,1975-1979,40,4.207312747706257,4.022006276702425,0.043338439977857565,0.04153100132034304
mental_illness,1975-1979,60,4.2837036210859525,3.998358991341276,0.044610448231580536,0.042073490726280485
mental_illness,1975-1979,80,4.348202871534571,3.981115075352754,0.04478201322796809,0.04181466408711954
mental_illness,1980-1984,0,4.135768220651173,4.135768220651173,0.04601759364357137,0.04601759364357137
mental_illness,1980-1984,100,4.368203842096323,3.9307405217507236,0.04886538992087551,0.0427918413188052
mental_illness,1980-1984,20,4.191069980372472,4.09622149958229,0.04736584897876186,0.04600734295273522
mental_illness,1980-1984,40,4.247719390002883,4.057183402318725,0.047830656564908876,0.045465785153375265
mental_illness,1980-1984,60,4.284423173467273,4.010073276031162,0.04796237024989081,0.04420338407345348
mental_illness,1980-1984,80,4.3297081050404325,3.966078429463807,0.04905273798159965,0.04384568085135289
mental_illness,1985-1989,0,4.083831709537483,4.083831709537483,0.04201789741970752,0.04201789741970752
mental_illness,1985-1989,100,4.412412134817918,3.9311714231427395,0.045994977043671025,0.040368898393722596
mental_illness,1985-1989,20,4.156668118902327,4.047126644250667,0.043415076355610135,0.04177763884484269
mental_illness,1985-1989,40,4.233884314205279,4.026955405385982,0.04498090453708185,0.04228259221213915
mental_illness,1985-1989,60,4.297949664756556,4.003305519972709,0.044523089246784615,0.041224614851153814
mental_illness,1985-1989,80,4.35072987055648,3.9687085984673987,0.045282650743299194,0.040849001621134085
mental_illness,1990-1994,0,4.043676471832464,4.043676471832464,0.04076367203683284,0.04076367203683284
