target,corpus,year,count
horse,psych,1990,2
horse,psych,1991,1
horse,psych,1992,11
horse,psych,1993,10
horse,psych,1994,4
horse,psych,1995,7
horse,psych,1996,8
horse,psych,1997,7
horse,psych,1998,10
horse,psych,1999,2
horse,psych,2000,6
horse,psych,2001,18
horse,psych,2002,3
horse,psych,2003,6
horse,psych,2004,9
horse,psych,2005,13
horse,psych,2006,10
horse,psych,2007,9
horse,psych,2008,6
horse,psych,2009,27
horse,psych,2010,21
horse,psych,2011,13
horse,psych,2012,9
horse,psych,2013,17
horse,psych,2014,50
horse,psych,2015,31
horse,psych,2016,32
horse,psych,2017,15
horse,psych,2018,18
horse,psych,2019,1
mail,psych,1970,2
mail,psych,1971,1
mail,psych,1973,3
mail,psych,1974,4
mail,psych,1975,1
mail,psych,1976,3
mail,psych,1977,6
mail,psych,1978,5
mail,psych,1979,4
mail,psych,1980,9
mail,psych,1981,9
mail,psych,1982,12
mail,psych,1983,17
mail,psych,1984,22
mail,psych,1985,12
mail,psych,1986,18
mail,psych,1987,13
mail,psych,1988,24
mail,psych,1989,24
mail,psych,1990,14
mail,psych,1991,26
mail,psych,1992,33
mail,psych,1993,26
mail,psych,1994,33
mail,psych,1995,40
mail,psych,1996,49
mail,psych,1997,30
mail,psych,1998,26
mail,psych,1999,32
mail,psych,2000,33
mail,psych,2001,79
mail,psych,2002,59
mail,psych,2003,52
mail,psych,2004,75
mail,psych,2005,99
mail,psych,2006,83
mail,psych,2007,81
mail,psych,2008,72
mail,psych,2009,74
mail,psych,2010,76
mail,psych,2011,70
mail,psych,2012,57
mail,psych,2013,67
mail,psych,2014,65
mail,psych,2015,50
mail,psych,2016,66
mail,psych,2017,40
mail,psych,2018,31
mental_disorder,psych,1970,4
mental_disorder,psych,1971,1
mental_disorder,psych,1973,2
mental_disorder,psych,1974,4
mental_disorder,psych,1975,4
mental_disorder,psych,1976,2
mental_disorder,psych,1977,9
mental_disorder,psych,1978,5
mental_disorder,psych,1979,5
mental_disorder,psych,1980,3
mental_disorder,psych,1981,4
mental_disorder,psych,1982,5
mental_disorder,psych,1983,10
mental_disorder,psych,1984,10
mental_disorder,psych,1985,4
mental_disorder,psych,1986,5
mental_disorder,psych,1987,7
mental_disorder,psych,1988,4
mental_disorder,psych,1989,15
mental_disorder,psych,1990,9
mental_disorder,psych,1991,16
mental_disorder,psych,1992,16
mental_disorder,psych,1993,19
mental_disorder,psych,1994,24
mental_disorder,psych,1995,24
mental_disorder,psych,1996,34
mental_disorder,psych,1997,45
mental_disorder,psych,1998,36
mental_disorder,psych,1999,54
mental_disorder,psych,2000,43
mental_disorder,psych,2001,38
mental_disorder,psych,2002,44
mental_disorder,psych,2003,44
mental_disorder,psych,2004,37
mental_disorder,psych,2005,66
mental_disorder,psych,2006,55
mental_disorder,psych,2007,71
mental_disorder,psych,2008,66
mental_disorder,psych,2009,82
mental_disorder,psych,2010,77
mental_disorder,psych,2011,91
mental_disorder,psych,2012,102
mental_disorder,psych,2013,127
mental_disorder,psych,2014,103
mental_disorder,psych,2015,138
mental_disorder,psych,2016,142
mental_disorder,psych,2017,88
mental_disorder,psych,2018,78
mental_health,psych,1970,20
mental_health,psych,1971,25
mental_health,psych,1972,13
mental_health,psych,1973,20
mental_health,psych,1974,32
mental_health,psych,1975,56
mental_health,psych,1976,84
mental_health,psych,1977,114
mental_health,psych,1978,141
mental_health,psych,1979,123
mental_health,psych,1980,157
mental_health,psych,1981,153
mental_health,psych,1982,122
mental_health,psych,1983,133
mental_health,psych,1984,180
mental_health,psych,1985,138
mental_health,psych,1986,226
mental_health,psych,1987,222
mental_health,psych,1988,166
mental_health,psych,1989,286
mental_health,psych,1990,273
mental_health,psych,1991,300
mental_health,psych,1992,301
mental_health,psych,1993,342
mental_health,psych,1994,392
mental_health,psych,1995,390
mental_health,psych,1996,442
mental_health,psych,1997,493
mental_health,psych,1998,517
mental_health,psych,1999,600
mental_health,psych,2000,660
mental_health,psych,2001,632
mental_health,psych,2002,703
mental_health,psych,2003,860
mental_health,psych,2004,1006
mental_health,psych,2005,1103
mental_health,psych,2006,1308
mental_health,psych,2007,1303
mental_health,psych,2008,1478
mental_health,psych,2009,1837
mental_health,psych,2010,2011
mental_health,psych,2011,2161
mental_health,psych,2012,2586
mental_health,psych,2013,2887
mental_health,psych,2014,3039
mental_health,psych,2015,3519
mental_health,psych,2016,4242
mental_health,psych,2017,3026
mental_health,psych,2018,3274
mental_health,psych,2019,34
mental_illness,psych,1970,11
mental_illness,psych,1971,10
mental_illness,psych,1972,4
mental_illness,psych,1973,16
mental_illness,psych,1974,2
mental_illness,psych,1975,14
mental_illness,psych,1976,19
mental_illness,psych,1977,31
mental_illness,psych,1978,18
mental_illness,psych,1979,20
mental_illness,psych,1980,33
mental_illness,psych,1981,23
mental_illness,psych,1982,17
mental_illness,psych,1983,21
mental_illness,psych,1984,21
mental_illness,psych,1985,31
mental_illness,psych,1986,11
mental_illness,psych,1987,13
mental_illness,psych,1988,23
mental_illness,psych,1989,27
mental_illness,psych,1990,40
mental_illness,psych,1991,26
mental_illness,psych,1992,50
mental_illness,psych,1993,40
mental_illness,psych,1994,44
mental_illness,psych,1995,67
mental_illness,psych,1996,67
mental_illness,psych,1997,95
mental_illness,psych,1998,113
mental_illness,psych,1999,89
mental_illness,psych,2000,93
mental_illness,psych,2001,96
mental_illness,psych,2002,117
mental_illness,psych,2003,156
mental_illness,psych,2004,169
mental_illness,psych,2005,131
mental_illness,psych,2006,192
mental_illness,psych,2007,231
mental_illness,psych,2008,238
mental_illness,psych,2009,223
mental_illness,psych,2010,221
mental_illness,psych,2011,275
mental_illness,psych,2012,302
mental_illness,psych,2013,359
mental_illness,psych,2014,355
mental_illness,psych,2015,414
mental_illness,psych,2016,533
mental_illness,psych,2017,340
mental_illness,psych,2018,359
mental_illness,psych,2019,8
mirror,psych,1970,6
mirror,psych,1971,18
mirror,psych,1972,14
mirror,psych,1973,10
mirror,psych,1974,31
mirror,psych,1975,15
mirror,psych,1976,20
mirror,psych,1977,21
mirror,psych,1978,30
mirror,psych,1979,29
mirror,psych,1980,24
mirror,psych,1981,28
mirror,psych,1982,28
mirror,psych,1983,38
mirror,psych,1984,31
mirror,psych,1985,45
mirror,psych,1986,45
mirror,psych,1987,51
mirror,psych,1988,52
mirror,psych,1989,42
mirror,psych,1990,48
mirror,psych,1991,56
mirror,psych,1992,69
mirror,psych,1993,47
mirror,psych,1994,61
mirror,psych,1995,39
mirror,psych,1996,71
mirror,psych,1997,80
mirror,psych,1998,68
mirror,psych,1999,54
mirror,psych,2000,51
mirror,psych,2001,94
mirror,psych,2002,97
mirror,psych,2003,103
mirror,psych,2004,89
mirror,psych,2005,129
mirror,psych,2006,128
mirror,psych,2007,155
mirror,psych,2008,165
mirror,psych,2009,176
